fid,Pressure_h,Temperatur,Humidity_p,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,SO2_October_2025,O3_October_2025,NO2_October_2025,CO_October_2025,UVAI_October_2025
656,751.72,30.28,50.13,36,0.44,25.292946,76.220829,2447.95037153991,-0.00006,0.12494,0.00002,0.02931,-0.43874
657,752.16,5.81,64.62,96,1.23,25.546728,76.840679,2443.28721695953,0,0.12478,0.00003,0.02906,-0.14898
658,753.23,30.33,52.72,48,0.5,25.293095,76.220546,2431.95648309661,-0.00006,0.12494,0.00002,0.02931,-0.43874
659,753.94,5.93,64.88,72,1.14,25.546728,76.840679,2424.44515019202,0,0.12478,0.00003,0.02906,-0.14898
660,754.81,30.35,51.52,12,0.58,25.293142,76.220207,2415.24892789382,-0.00006,0.12494,0.00002,0.02931,-0.43874
661,755.9,6.02,65.37,36,1.21,25.546712,76.841174,2403.73932927576,0,0.12478,0.00003,0.02906,-0.14898
662,756.29,30.37,51.13,12,0.56,25.293417,76.219578,2399.62448038159,-0.00006,0.12494,0.00002,0.02931,-0.43874
663,757.81,6.11,65.57,36,1.23,25.546598,76.841378,2383.60350048438,0,0.12478,0.00003,0.02906,-0.14898
664,757.9,30.39,51.62,60,0.56,25.293417,76.219578,2382.65570605838,-0.00006,0.12494,0.00002,0.02931,-0.43874
665,759.64,6.24,66.29,24,1.21,25.546416,76.841464,2364.34956941752,0,0.12478,0.00003,0.02906,-0.14898
666,759.71,30.43,51.81,0,0.61,25.293445,76.21929,2363.61382637449,-0.00006,0.12494,0.00002,0.02931,-0.43874
667,761.36,30.47,51.89,24,0.53,25.293593,76.218901,2346.28718800659,-0.00006,0.12494,0.00002,0.02931,-0.43874
668,761.47,6.31,67.08,60,1.22,25.546416,76.841464,2345.13316024001,0,0.12478,0.00003,0.02906,-0.14898
669,763.25,6.39,67.17,60,1.13,25.546079,76.841522,2326.47763268151,0,0.12478,0.00003,0.02906,-0.14898
670,763.56,30.5,53.52,12,0.66,25.293797,76.218647,2323.23223909398,-0.00006,0.12494,0.00002,0.02931,-0.43874
671,765.15,6.48,67.08,24,1.1,25.545991,76.841458,2306.60326081869,0,0.12478,0.00003,0.02906,-0.14898
672,765.89,30.52,53.44,12,0.53,25.294017,76.21798,2298.87352795306,-0.00006,0.12494,0.00002,0.02931,-0.43874
673,767.01,6.57,67.63,36,1.18,25.546024,76.841367,2287.18596790188,0,0.12478,0.00003,0.02906,-0.14898
674,767.91,30.54,52.78,36,0.6,25.294017,76.21798,2277.80418853187,-0.00006,0.12494,0.00002,0.02931,-0.43874
675,768.84,6.67,68.35,48,1.23,25.546058,76.841273,2268.11903218429,0,0.12478,0.00003,0.02906,-0.14898
676,769.55,30.57,53.7,12,0.75,25.294105,76.217706,2260.73137171435,-0.00006,0.12494,0.00002,0.02931,-0.43874
677,770.61,6.74,68.6,36,1.11,25.545802,76.841207,2249.7121709763,0,0.12478,0.00003,0.02906,-0.14898
678,771.25,30.61,53.86,36,0.55,25.294183,76.217355,2243.06500957439,-0.00006,0.12494,0.00002,0.02931,-0.43874
679,772.48,6.82,68.67,60,1.29,25.545802,76.841207,2230.3025269938,0,0.12478,0.00003,0.02906,-0.14898
680,773.02,30.62,53.15,0,0.64,25.294297,76.217165,2224.70468317463,-0.00006,0.12494,0.00002,0.02931,-0.43874
681,774.32,6.87,68.42,48,1.24,25.545613,76.841322,2211.24136824367,0,0.12478,0.00003,0.02906,-0.14898
