fid,Pressure_h,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,aod55_Octo,aod47_Octo,UVAI_Octob
726,816.49,48,1.06,25.543831,76.844784,1784.12766476361,0,0,-1.70276
727,817.99,0,0.41,25.294069,76.211389,1769.26717524145,0,0,-1.71366
728,818.52,72,1.08,25.543728,76.845006,1764.02174450997,0,0,-1.70276
729,820.45,36,0.32,25.294069,76.211389,1744.94367151859,0,0,-1.71366
730,820.49,36,1.07,25.543834,76.84517,1744.54865559519,0,0,-1.70276
731,822.52,36,1.16,25.543959,76.845364,1724.5220439985,0,0,-1.70276
732,823,0,0.27,25.29391,76.211055,1719.79253889511,0,0,-1.71366
733,824.47,24,1.06,25.544119,76.845611,1705.32231062438,0,0,-1.70276
734,825.21,36,0.24,25.293856,76.210938,1698.04588191309,0,0,-1.71366
735,826.42,36,1.04,25.544119,76.845611,1686.15931264107,0,0,-1.70276
736,827.24,0,0.22,25.293714,76.210755,1678.11196033731,0,0,-1.71366
737,828.34,36,0.98,25.5444,76.846368,1667.3268696706,0,0,-1.70276
738,829.19,12,0.22,25.293659,76.2106,1659.00087626937,0,0,-1.71366
739,830.31,48,1.04,25.544585,76.846665,1648.04070177478,0,0,-1.70276
740,831.21,36,0.23,25.293634,76.210488,1639.24209032189,0,0,-1.71366
741,832.24,24,1.04,25.54477,76.846918,1629.18202937209,0,0,-1.70276
742,833.03,12,0.22,25.29356,76.210336,1621.47288975288,0,0,-1.71366
743,834.11,72,1.09,25.54477,76.846918,1610.94338564321,0,0,-1.70276
744,834.94,0,0.23,25.293478,76.21014,1602.85876634639,0,0,-1.71366
745,836.06,48,1.05,25.545154,76.847452,1591.95970982513,0,0,-1.70276
746,836.72,12,0.23,25.293478,76.21014,1585.54258656128,0,0,-1.71366
747,838.04,48,1.08,25.545353,76.847799,1572.72062645119,0,0,-1.70276
748,838.62,0,0.22,25.29338,76.210001,1567.0919057953,0,0,-1.71366
749,839.9,60,1.04,25.545527,76.848033,1554.68104746757,0,0,-1.70276
750,840.38,12,0.25,25.293393,76.209884,1550.03092393693,0,0,-1.71366
751,841.9,12,1.04,25.545654,76.848221,1535.31970738754,0,0,-1.70276
752,842.41,24,0.22,25.29337,76.209678,1530.38852571733,0,0,-1.71366
753,843.79,12,1.05,25.545654,76.848221,1517.05743804109,0,0,-1.70276
754,844.15,0,0.25,25.293379,76.209323,1513.58266667039,0,0,-1.71366
755,845.73,24,1,25.545893,76.848546,1498.34645626057,0,0,-1.70276
756,845.95,36,0.22,25.293379,76.209323,1496.22678709271,0,0,-1.71366
757,847.63,24,1.03,25.546049,76.848733,1480.05492469535,0,0,-1.70276
758,847.82,48,0.26,25.293393,76.209183,1478.22759812242,0,0,-1.71366
759,849.56,36,1.01,25.546197,76.84892,1461.50853874522,0,0,-1.70276
760,849.69,12,0.22,25.293419,76.208968,1460.26052715711,0,0,-1.71366
